CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
22153,Faculdade de Ciências Jurídicas de Guanambi,,Privada com fins lucrativos,Faculdade,Nordeste
22229,Faculdade de Ciências Jurídicas de Itapeva,,Privada com fins lucrativos,Faculdade,Sudeste
22228,Faculdade de Ciências Jurídicas de Catanduva,,Privada com fins lucrativos,Faculdade,Sudeste
22227,Faculdade de Ciências Jurídicas de Alagoinhas,,Privada com fins lucrativos,Faculdade,Nordeste
22226,Faculdade de Ciências Jurídicas de Paragominas,,Privada com fins lucrativos,Faculdade,Norte
22225,Faculdade de Ciências Jurídicas de Eunápolis,,Privada com fins lucrativos,Faculdade,Nordeste
22124,Faculdade de Ciências Jurídicas de Brumado,,Privada com fins lucrativos,Faculdade,Nordeste
22152,Faculdade de Ciências Jurídicas de Santo Antônio de Jesus,,Privada com fins lucrativos,Faculdade,Nordeste
22151,Faculdade de Ciências Jurídicas de Rio Branco,,Privada com fins lucrativos,Faculdade,Norte
22150,Faculdade de Ciências Jurídicas de Ribeirão das Neves,,Privada com fins lucrativos,Faculdade,Sudeste
22147,Faculdade de Ciências Jurídicas de Belo Jardim,,Privada com fins lucrativos,Faculdade,Nordeste
22144,Faculdade de Ciências Jurídicas de Luziânia,,Privada com fins lucrativos,Faculdade,Centro-Oeste
22140,Faculdade de Ciências Jurídicas de Uruguaiana,,Privada com fins lucrativos,Faculdade,Sul
22136,Faculdade de Ciências Jurídicas de Itabira,,Privada com fins lucrativos,Faculdade,Sudeste
22135,Faculdade de Ciências Jurídicas de Irecê,,Privada com fins lucrativos,Faculdade,Nordeste
22134,Faculdade de Ciências Jurídicas de Serra,,Privada com fins lucrativos,Faculdade,Sudeste
22129,Faculdade de Ciências Jurídicas de Juiz de Fora,,Privada com fins lucrativos,Faculdade,Sudeste
22127,Faculdade de Ciências Jurídicas de Jequié,,Privada com fins lucrativos,Faculdade,Nordeste
22126,Faculdade de Ciências Jurídicas de Marabá,,Privada com fins lucrativos,Faculdade,Norte
22125,Faculdade de Ciências Jurídicas de Bom Jesus da Lapa,,Privada com fins lucrativos,Faculdade,Nordeste
22123,Faculdade de Ciências Jurídicas de Arapiraca,,Privada com fins lucrativos,Faculdade,Nordeste
21900,Faculdade Anhanguera de Catanduva,,Privada com fins lucrativos,Faculdade,Sudeste
21691,Faculdade Pitágoras Belo Jardim,,Privada com fins lucrativos,Faculdade,Nordeste
21687,Faculdade Pitágoras Itabira,,Privada com fins lucrativos,Faculdade,Sudeste
2576,FACULDADES PITÁGORAS UNIDADE GUARAPARI,FIPAG,Privada com fins lucrativos,Faculdade,Sudeste
21553,Faculdade Pitágoras de Santo Antônio de Jesus,,Privada com fins lucrativos,Faculdade,Nordeste
21552,Faculdade Pitágoras de Rio Branco,,Privada com fins lucrativos,Faculdade,Norte
21693,Faculdade Anhanguera Franca,,Privada com fins lucrativos,Faculdade,Sudeste
1305,"FACULDADE DE CIÊNCIAS JURÍDICAS, GERENCIAIS E EDUCAÇÃO DE SINOP",,Privada com fins lucrativos,Faculdade,Centro-Oeste
21281,Faculdade Pitágoras de Luziânia,,Privada com fins lucrativos,Faculdade,Centro-Oeste
21280,Faculdade Pitágoras de Alagoinhas,,Privada com fins lucrativos,Faculdade,Nordeste
21239,Faculdade Anhanguera de Jaú,,Privada com fins lucrativos,Faculdade,Sudeste
2511,FACULDADE DE DIREITO UNIDADE GUARAPARI,FADIG,Privada com fins lucrativos,Faculdade,Sudeste
19298,Faculdade Pitagoras de Eunapolis,,Privada com fins lucrativos,Faculdade,Nordeste
19787,Faculdade Pitágoras de Tucuruí,,Privada com fins lucrativos,Faculdade,Norte
20588,Faculdade Anhanguera de Uruguaiana,,Privada com fins lucrativos,Faculdade,Sul
20587,Faculdade Pitágoras de Irecê,,Privada com fins lucrativos,Faculdade,Nordeste
20574,Faculdade Anhanguera de Nova Iguaçu,,Privada com fins lucrativos,Faculdade,Sudeste
19791,Faculdade Pitágoras de Jaboatão dos Guararapes,,Privada com fins lucrativos,Faculdade,Nordeste
298,UNIVERSIDADE PITÁGORAS UNOPAR,,Privada com fins lucrativos,Universidade,Sul
2437,FACULDADE PITÁGORAS DE TEIXEIRA DE FREITAS,PIT TEIXEIRA,Privada com fins lucrativos,Faculdade,Nordeste
19788,Faculdade Pitágoras de Parauapebas,,Privada com fins lucrativos,Faculdade,Norte
19786,Faculdade Pitágoras da Serra,,Privada com fins lucrativos,Faculdade,Sudeste
19785,Faculdade Pitágoras de Ribeirão das Neves,,Privada com fins lucrativos,Faculdade,Sudeste
19783,Faculdade Pitágoras de Paragominas,,Privada com fins lucrativos,Faculdade,Norte
19781,Faculdade Pitágoras de Juiz de Fora,,Privada com fins lucrativos,Faculdade,Sudeste
19780,Faculdade Pitágoras de Guanambi,,Privada com fins lucrativos,Faculdade,Nordeste
19323,Faculdade Pitagoras de Maraba,,Privada com fins lucrativos,Faculdade,Norte
19272,Faculdade Pitagoras de Campina Grande,,Privada com fins lucrativos,Faculdade,Nordeste
19260,Faculdade Pitágoras de Jequié,,Privada com fins lucrativos,Faculdade,Nordeste
19255,Faculdade Pitágoras de Bom Jesus da Lapa,,Privada com fins lucrativos,Faculdade,Nordeste
22143,Faculdade de Ciências Jurídicas de São José do Rio Preto,,Privada com fins lucrativos,Faculdade,Sudeste
2773,FACULDADE DE MACAPÁ,,Privada com fins lucrativos,Faculdade,Norte
1233,CENTRO UNIVERSITÁRIO UNIC,,Privada com fins lucrativos,Centro Universitário,Centro-Oeste
2264,FACULDADE DE COMUNICAÇÃO PITÁGORAS UNIDADE GUARAPARI,PIT GUARAPARI,Privada com fins lucrativos,Faculdade,Sudeste
18627,Faculdade Pitágoras de João Pessoa,,Privada com fins lucrativos,Faculdade,Nordeste
18626,Faculdade Pitágoras de Arapiraca,,Privada com fins lucrativos,Faculdade,Nordeste
18625,Faculdade Pitágoras de Vitória da Conquista,,Privada com fins lucrativos,Faculdade,Nordeste
21554,Faculdade Anhanguera de Itapeva,,Privada com fins lucrativos,Faculdade,Sudeste
22130,Faculdade de Ciências Jurídicas de Tucuruí,,Privada com fins lucrativos,Faculdade,Norte
14996,FACULDADE DE GESTAO E NEGOCIOS DE SALVADOR,FGN,Privada com fins lucrativos,Faculdade,Nordeste
15015,Universidade Estadual do Norte do Paraná,UENP,Pública Estadual,Universidade,Sul
15032,UNIVERSIDADE ALTO VALE DO RIO DO PEIXE,UNIARP,Privada sem fins lucrativos,Universidade,Sul
1614,FACULDADE ASTORGA,FAAST,Privada sem fins lucrativos,Faculdade,Sul
3610,Centro Universitário ICESP,Unicesp,Privada com fins lucrativos,Centro Universitário,Centro-Oeste
15059,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,Pública Federal,Universidade,Norte
582,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Pública Federal,Universidade,Sul
15079,FACULDADE MASTER DE PARAUAPEBAS - FAMAP,FAMAP,Privada com fins lucrativos,Faculdade,Norte
15121,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,Pública Federal,Universidade,Sul
852,FACULDADE DE INFORMÁTICA E ADMINISTRAÇÃO PAULISTA,FIAP,Privada com fins lucrativos,Faculdade,Sudeste
15133,FACULDADE JARDINS,FACJARDINS,Privada com fins lucrativos,Faculdade,Nordeste
17460,FACULDADE Profissional,FAPRO,Privada com fins lucrativos,Faculdade,Sul
4785,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA,IFRO,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Norte
5322,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,UNIPAMPA,Pública Federal,Universidade,Sul
584,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Pública Federal,Universidade,Centro-Oeste
1190,FACULDADE INTEGRAL CANTAREIRA,F.I.C.,Privada sem fins lucrativos,Faculdade,Sudeste
15272,"FACULDADE DE TECNOLOGIA, EDUCAÇÃO SUPERIOR E PROFISSIONAL",FATESP,Privada com fins lucrativos,Faculdade,Nordeste
4090,FACULDADE DE ROSEIRA,FARO,Privada com fins lucrativos,Faculdade,Sudeste
1308,FACULDADE NOVO MILÊNIO,FNM,Privada com fins lucrativos,Faculdade,Sudeste
15382,Faculdade Noroeste do Mato Grosso,AJES,Privada com fins lucrativos,Faculdade,Centro-Oeste
18631,FACULDADE DO VALE DO RIO ARINOS,AJES,Privada com fins lucrativos,Faculdade,Centro-Oeste
17118,Faculdade do Norte de Mato Grosso,AJES,Privada com fins lucrativos,Faculdade,Centro-Oeste
1661,Faculdade Projeção de Sobradinho,FAPRO,Privada sem fins lucrativos,Faculdade,Centro-Oeste
1507,FACULDADE PROJEÇÃO DE CEILÂNDIA,FAPRO,Privada sem fins lucrativos,Faculdade,Centro-Oeste
1309,Faculdade Projeção de Taguatinga Norte,FAPRO,Privada com fins lucrativos,Faculdade,Centro-Oeste
15922,Faculdade Bíblica das Assembléias de Deus,,Privada sem fins lucrativos,Faculdade,Sudeste
15383,FACULDADE PARA O DESENVOLVIMENTO SUSTENTÁVEL DA AMAZÔNIA,FADESA,Privada com fins lucrativos,Faculdade,Norte
15433,FACULDADE CATÓLICA DE MATO GROSSO,FACC-MT,Privada sem fins lucrativos,Faculdade,Centro-Oeste
5013,CENTRO UNIVERSITÁRIO ESTADUAL DA ZONA OESTE,UEZO,Pública Estadual,Centro Universitário,Sudeste
20340,FACULDADE PAULISTA DE CIÊNCIAS DA SAÚDE,FPCS,Privada sem fins lucrativos,Faculdade,Sudeste
15504,FACULDADE IRECÊ,FAI,Privada com fins lucrativos,Faculdade,Nordeste
15507,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",IFAC,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Norte
3252,FACULDADE QUIRINÓPOLIS,FAQUI,Privada com fins lucrativos,Faculdade,Centro-Oeste
15520,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO DO SUL",IFMS,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Centro-Oeste
15521,FACULDADE CATÓLICA DE SÃO JOSÉ DOS CAMPOS,CATÓLICA-SJC,Privada sem fins lucrativos,Faculdade,Sudeste
15522,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",IFAP,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Norte
15526,FACULDADE DE GESTAO E NEGOCIOS DE FORTALEZA,FGNF,Privada com fins lucrativos,Faculdade,Nordeste
1857,FACULDADE DEHONIANA,DEHONIANA,Privada sem fins lucrativos,Faculdade,Sudeste
2462,FACULDADE SÃO LUÍS,FSL,Privada sem fins lucrativos,Faculdade,Sul
1714,ESCOLA SUPERIOR DE GESTÃO COMERCIAL E MARKETING,ESIC,Privada sem fins lucrativos,Faculdade,Sul
595,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,Pública Federal,Universidade,Sudeste
15562,Faculdade Batista do Cariri,FBC,Privada sem fins lucrativos,Faculdade,Nordeste
15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Privada sem fins lucrativos,Universidade,Sudeste
16037,Instituto Superior de Ciencias Policiais,ISCP,Pública Federal,Faculdade,Centro-Oeste
15839,Faculdade Pitágoras da Paraíba,,Privada com fins lucrativos,Faculdade,Nordeste
1326,FACULDADE CAPIXABA DA SERRA,MULTIVIX SERRA,Privada com fins lucrativos,Faculdade,Sudeste
15859,Faculdade Católica Paulista,FACAP,Privada sem fins lucrativos,Faculdade,Sudeste
15873,Faculdade Itaquá,UNEITAQUÁ,Privada com fins lucrativos,Faculdade,Sudeste
15980,FG Faculdade Global,FG,Privada com fins lucrativos,Faculdade,Sul
1653,FACULDADE DE CIÊNCIA E EDUCAÇÃO DO CAPARAÓ,FACEC,Privada com fins lucrativos,Faculdade,Sudeste
16194,Faculdade Gran Tietê,FGT,Privada com fins lucrativos,Faculdade,Sudeste
16245,FACULDADE ESCOLA DE NEGÓCIOS EXCELLENCE,FAENE,Privada com fins lucrativos,Faculdade,Nordeste
583,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Pública Federal,Universidade,Nordeste
2770,FACULDADE UNIDA DE CAMPINAS,FACUNICAMPS,Privada com fins lucrativos,Faculdade,Centro-Oeste
597,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,Pública Federal,Universidade,Sudeste
16502,FACULDADE PESTALOZZI DE FRANCA,FAPESF,Privada sem fins lucrativos,Faculdade,Sudeste
2098,FACULDADE EXCELÊNCIA,FAEX,Privada sem fins lucrativos,Faculdade,Nordeste
2133,"Faculdade de Ciências, Educação e Teologia do Norte do Brasil",FACETEN,Privada sem fins lucrativos,Faculdade,Norte
16525,FACULDADE DUARTE COELHO,FDC,Privada com fins lucrativos,Faculdade,Nordeste
16543,Faculdade Metropolitana do Estado de São Paulo,FAMEESP,Privada com fins lucrativos,Faculdade,Sudeste
16628,Faculdade ANASPS,FANASPS,Privada sem fins lucrativos,Faculdade,Centro-Oeste
3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,Pública Federal,Universidade,Norte
16654,FACULDADE UNIRB - SERRINHA,FACULDADE UNIRB,Privada com fins lucrativos,Faculdade,Nordeste
17438,Faculdade Católica Cavanis do Sudoeste do Pará,FCCSP,Privada sem fins lucrativos,Faculdade,Norte
569,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Pública Federal,Universidade,Norte
16691,Faculdade NETCOM,FANET,Privada com fins lucrativos,Faculdade,Nordeste
575,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Pública Federal,Universidade,Sudeste
1578,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Sul
16728,"FACULDADE DE CIÊNCIAS HUMANAS, ECONÔMICAS E DA SAÚDE",FAHESA/ITPAC PALMAS,Privada com fins lucrativos,Faculdade,Norte
16725,Faculdade de Educacao e Tecnologia do Para,FAETE,Privada sem fins lucrativos,Faculdade,Norte
3160,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Nordeste
586,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Pública Federal,Universidade,Sudeste
580,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Pública Federal,Universidade,Nordeste
16782,Faculdade Mário Quintana,FAMAQUI,Privada com fins lucrativos,Faculdade,Sul
16816,Faculdade de Ensino Superior do  Sul do Pará,FESSULPA,Privada com fins lucrativos,Faculdade,Norte
16864,Faculdade Cultura Inglesa,FCI,Privada sem fins lucrativos,Faculdade,Sudeste
16879,Faculdade de Medicina de Olinda,FMO,Privada com fins lucrativos,Faculdade,Nordeste
16898,FACULDADE DE EDUCAÇÃO E TECNOLOGIA DA AMAZÔNIA,FAM,Privada com fins lucrativos,Faculdade,Norte
16943,FACULDADE UNINASSAU PARNAMIRIM,,Privada com fins lucrativos,Faculdade,Nordeste
16901,INSTITUTO EDUCATIE,EDUCATIE,Privada com fins lucrativos,Faculdade,Sudeste
16918,FACULDADE CATÓLICA DE FEIRA DE SANTANA,,Privada sem fins lucrativos,Faculdade,Nordeste
1893,Faculdade Unirb - Feira de Santana,F. UNIRB,Privada com fins lucrativos,Faculdade,Nordeste
1968,FACULDADE BRASILEIRA DE TECNOLOGIA,FBT,Privada com fins lucrativos,Faculdade,Nordeste
16934,Faculdade Melies de Tecnologia,Melies,Privada com fins lucrativos,Faculdade,Sudeste
16948,Faculdade 28 de Agosto de Ensino e Pesquisa,28 de Agosto,Privada sem fins lucrativos,Faculdade,Sudeste
16964,Faculdade de Tecnologia de Horizonte,FATHOR,Privada com fins lucrativos,Faculdade,Nordeste
16967,FACULDADE SENAI RIO,,Privada sem fins lucrativos,Faculdade,Sudeste
4504,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Pública Federal,Universidade,Centro-Oeste
699,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Pública Federal,Universidade,Norte
8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Pública Federal,Universidade,Sudeste
572,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Pública Federal,Universidade,Sudeste
579,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Pública Federal,Universidade,Nordeste
573,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Pública Federal,Universidade,Sudeste
585,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Pública Federal,Universidade,Sul
578,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Pública Federal,Universidade,Nordeste
571,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Pública Federal,Universidade,Sul
12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Pública Federal,Universidade,Sul
19793,FACULDADE FADAM DE MARACANAÚ,FADAM,Privada com fins lucrativos,Faculdade,Nordeste
17688,FACULDADE FADAM,FADAM,Privada com fins lucrativos,Faculdade,Nordeste
587,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Pública Federal,Universidade,Nordeste
15001,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,Pública Federal,Universidade,Sul
577,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Pública Federal,Universidade,Nordeste
3430,"Faculdade Uberlandense de Núcleos Integrados de Ensino, Serviço Social e Aprendizagem",FAESSA,Privada sem fins lucrativos,Faculdade,Sudeste
17014,CENTRO SUPERIOR DE ESTUDOS JURÍDICOS CARLOS DRUMMOND DE ANDRADE,CSEJCDA,Privada sem fins lucrativos,Faculdade,Sudeste
17025,Faculdade de Educação Superior de Paragominas,FACESP,Privada com fins lucrativos,Faculdade,Norte
17565,"FACULDADE DE CIÊNCIAS HUMANAS,EXATAS E DA SAÚDE DO PIAUÍ",FAHESP,Privada com fins lucrativos,Faculdade,Nordeste
2753,Faculdade de Ciências Educacionais de Capim Grosso,FCG,Privada com fins lucrativos,Faculdade,Nordeste
1027,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,Pública Estadual,Universidade,Sudeste
20322,Escola de Ensino Superior do Agreste Paraibano,EESAP,Privada com fins lucrativos,Faculdade,Nordeste
17115,FACULDADE TRÊS MARIAS,FTM,Privada com fins lucrativos,Faculdade,Nordeste
3189,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Sudeste
576,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Pública Federal,Universidade,Sudeste
17200,Faculdade Brasileira de Tributação,FBT,Privada com fins lucrativos,Faculdade,Sul
1059,FACULDADE LOURENÇO FILHO,FLF,Privada com fins lucrativos,Faculdade,Nordeste
13106,FACULDADE DE TECNOLOGIA LOURENÇO FILHO,FATEC FLF,Privada com fins lucrativos,Faculdade,Nordeste
17288,Faculdade Teológica Betânia,FATEBE,Privada sem fins lucrativos,Faculdade,Sul
600,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,Pública Federal,"Instituto Federal de Educação, Ciência e Tecnologia",Nordeste
17326,FACULDADE GIANNA BERETTA,,Privada com fins lucrativos,Faculdade,Nordeste
2624,FACULDADE DO LITORAL PARANAENSE,FLP,Privada com fins lucrativos,Faculdade,Sul
2202,INSTITUTO SUPERIOR DE EDUCAÇÃO DE GUARATUBA,ISEPE Guaratuba,Privada com fins lucrativos,Faculdade,Sul
2135,CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ,UNICATÓLICA,Privada sem fins lucrativos,Centro Universitário,Nordeste
17352,Faculdade de Educação Memorial Adelaide Franco,FEMAF,Privada com fins lucrativos,Faculdade,Nordeste
19883,Faculdade Sul Paulista de Itanhaém,FASUPI,Privada com fins lucrativos,Faculdade,Sudeste
17400,Faculdade Menino Deus,FAMED,Privada com fins lucrativos,Faculdade,Sul
17401,Faculdade de Tecnologia CNA,FATECNA,Privada sem fins lucrativos,Faculdade,Centro-Oeste
19171,Faculdade de Teologia Fortaleza - FATEFOR,FATEFOR,Privada sem fins lucrativos,Faculdade,Nordeste
17405,FACULDADE AFONSO MAFRENSE,FAM,Privada com fins lucrativos,Faculdade,Nordeste
5077,UNIVERSIDADE ESTADUAL DE RORAIMA,UERR,Pública Estadual,Universidade,Norte
55,UNIVERSIDADE DE SÃO PAULO,USP,Pública Estadual,Universidade,Sudeste
17487,Faculdade Metropolitana do Marajó,FAMMA,Privada com fins lucrativos,Faculdade,Norte
17559,FACULDADE LOGOS,FALOG,Privada com fins lucrativos,Faculdade,Centro-Oeste
17490,FACULDADE JOÃO PAULO II,FAJOP,Privada com fins lucrativos,Faculdade,Centro-Oeste
17499,Faculdade Vidal de Limoeiro,FAVILI,Privada com fins lucrativos,Faculdade,Nordeste
785,FACULDADE DE EDUCAÇÃO DE TANGARÁ DA SERRA,,Privada com fins lucrativos,Faculdade,Centro-Oeste
17874,Faculdade de Educação Superior de Tangará da Serra,FAEST,Privada com fins lucrativos,Faculdade,Centro-Oeste
361,Faculdade Paulista de Serviço Social de São Caetano do Sul,FAPSS,Privada sem fins lucrativos,Faculdade,Sudeste
17553,Faculdade Waldir Filho,,Privada com fins lucrativos,Faculdade,Nordeste
17590,Faculdade ISAE BRASIL,ISAE,Privada sem fins lucrativos,Faculdade,Sul
17598,FACULDADE PROF. WLADEMIR DOS SANTOS,WLASAN,Privada com fins lucrativos,Faculdade,Sudeste
17628,Faculdade do Maciço do Baturité,FMB,Privada com fins lucrativos,Faculdade,Nordeste
17657,Faculdade Professor Daltro,,Privada sem fins lucrativos,Faculdade,Sudeste
19866,Faculdade EduCareMT,EDUCARE,Privada com fins lucrativos,Faculdade,Centro-Oeste
17666,Faculdade Pitágoras Unidade Paragominas,FPUP,Privada com fins lucrativos,Faculdade,Norte
17667,Faculdade Metropolitana de Paraupebas,,Privada com fins lucrativos,Faculdade,Norte
17670,Faculdade de Quixeramobim,UniQ,Privada com fins lucrativos,Faculdade,Nordeste
17672,ESCOLA DE DIREITO DO BRASIL,EDIRB,Privada com fins lucrativos,Faculdade,Sudeste
17889,FACULDADE IBG,IBG,Privada com fins lucrativos,Faculdade,Centro-Oeste
17674,Faculdade de Educação de São Mateus,,Privada com fins lucrativos,Faculdade,Nordeste
17715,FACULDADE DE EDUCAÇÃO SUPERIOR DE PERNAMBUCO,FACESP,Privada com fins lucrativos,Faculdade,Nordeste
17731,FACULDADE SESI-SP DE EDUCAÇÃO,FASESP,Privada sem fins lucrativos,Faculdade,Sudeste
17738,Faculdade Cesgranrio,FACESGRANRIO,Privada sem fins lucrativos,Faculdade,Sudeste
1767,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,,Privada com fins lucrativos,Faculdade,Centro-Oeste
1731,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS,,Privada com fins lucrativos,Faculdade,Centro-Oeste
781,FACULDADE DE RONDONÓPOLIS,,Privada com fins lucrativos,Faculdade,Centro-Oeste
1587,FACULDADES INTEGRADAS DE TANGARÁ DA SERRA,FITS,Privada com fins lucrativos,Faculdade,Centro-Oeste
1442,FACULDADE DE DIREITO DE TANGARÁ DA SERRA,,Privada com fins lucrativos,Faculdade,Centro-Oeste
2974,FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DE PRIMAVERA DO LESTE,,Privada com fins lucrativos,Faculdade,Centro-Oeste
2973,FACULDADE DE CIÊNCIAS HUMANAS E BIOLÓGICAS E DA SAÚDE,,Privada com fins lucrativos,Faculdade,Centro-Oeste
2944,FACULDADE DO SUL,,Privada com fins lucrativos,Faculdade,Nordeste
2794,FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO,FAIESP,Privada com fins lucrativos,Faculdade,Centro-Oeste
2791,FACULDADE DE CIÊNCIAS AGRÁRIAS E EXATAS DE PRIMAVERA DO LESTE,,Privada com fins lucrativos,Faculdade,Centro-Oeste
2005,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP,FACISAS,Privada com fins lucrativos,Faculdade,Centro-Oeste
2754,FACULDADE SÃO PAULO,FSP,Privada com fins lucrativos,Faculdade,Norte
17749,Faculdade América,América,Privada com fins lucrativos,Faculdade,Sudeste
976,FACULDADES INTEGRADAS DE PONTA PORÃ,FIP,Privada sem fins lucrativos,Faculdade,Centro-Oeste
940,Faculdades Magsul,FAMAG,Privada sem fins lucrativos,Faculdade,Centro-Oeste
17758,Faculdade Euclides da Cunha,FAEC,Privada com fins lucrativos,Faculdade,Nordeste
17763,Faculdade SENAI da Paraíba,,Privada sem fins lucrativos,Faculdade,Nordeste
2266,FACULDADE CAMBURY DE FORMOSA,CAMBURY,Privada com fins lucrativos,Faculdade,Centro-Oeste
18059,FACULDADE SANTO ANTONIO DE QUEIMADAS,FSAQ,Privada com fins lucrativos,Faculdade,Nordeste
2246,FACULDADE METROPOLITANA DE CIENCIAS E TECNOLOGIA,FAMEC,Privada com fins lucrativos,Faculdade,Nordeste
1301,INSTITUTO MATONENSE MUNICIPAL DE ENSINO SUPERIOR,IMMES,Privada sem fins lucrativos,Faculdade,Sudeste
17831,Faculdade de Tecnologia e Negócios de Catalão,FATENC,Privada com fins lucrativos,Faculdade,Centro-Oeste
17854,FACULDADE CAPITAL FEDERAL,FECAF,Privada com fins lucrativos,Faculdade,Sudeste
17876,FACULDADE ESPÍRITO SANTO,FAES,Privada sem fins lucrativos,Faculdade,Nordeste
17882,FACULDADE ESCOLA POLITÉCNICA DE INOVAÇÃO E CONHECIMENTO APLICADO,ÉPICA,Privada com fins lucrativos,Faculdade,Sul
17886,Faculdade de Educação Sul do Piauí,,Privada com fins lucrativos,Faculdade,Nordeste
17887,Faculdade de Ciências Médicas de São José dos Campos,,Privada com fins lucrativos,Faculdade,Sudeste
18253,FACULDADE VALE DO AÇO,FAVALE,Privada com fins lucrativos,Faculdade,Nordeste
4199,Faculdade JK Brasília - Recanto das Emas II,,Privada sem fins lucrativos,Faculdade,Centro-Oeste
4042,Faculdade JK Brasília - Recanto das Emas,JK BSB RE,Privada com fins lucrativos,Faculdade,Centro-Oeste
18035,Escola Brasileira de Medicina Chinesa,EBRAMEC,Privada sem fins lucrativos,Faculdade,Sudeste
17926,Faculdade de Ensino Superior Paschoal Dantas,,Privada com fins lucrativos,Faculdade,Sudeste
19586,FACULDADE UNITÀ,UNITÀ,Privada com fins lucrativos,Faculdade,Sudeste
17928,Faculdade Aliança Educacional do Estado de São Paulo,,Privada com fins lucrativos,Faculdade,Sudeste
4632,FACULDADE IDEAU DE CAXIAS DO SUL,IDEAU,Privada com fins lucrativos,Faculdade,Sul
11604,FACULDADE SANTA RITA DE CHAPECÓ,,Privada sem fins lucrativos,Faculdade,Sul
4633,Faculdade IDEAU de Passo Fundo,IDEAU,Privada com fins lucrativos,Faculdade,Sul
13359,FACULDADE IDEAU DE BAGÉ,IDEAU,Privada com fins lucrativos,Faculdade,Sul
18025,FACULDADE DE EDUCAÇÃO SUPERIOR DE CHAPECÓ,FACESC,Privada com fins lucrativos,Faculdade,Sul
