CO_IES,NO_IES,SG_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,REGIAO
295,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,Privada sem fins lucrativos,Universidade,Sul
296,Centro Universitário da Região da Campanha,,Privada sem fins lucrativos,Centro Universitário,Sul
5600,FACULDADES INTEGRADAS SÃO JUDAS TADEU,SJT,Privada sem fins lucrativos,Faculdade,Sul
299,FACULDADE DE JANDAIA DO SUL,FAFIJAN,Privada sem fins lucrativos,Faculdade,Sul
3983,CENTRO UNIVERSITÁRIO DE FORMIGA,UNIFORMG,Privada sem fins lucrativos,Centro Universitário,Sudeste
1064,Faculdade Doctum de Vitória,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
5313,Faculdades Unificadas de Cataguases,FUC,Privada sem fins lucrativos,Faculdade,Sudeste
5316,Faculdades Unificadas de Leopoldina,FUL,Privada sem fins lucrativos,Faculdade,Sudeste
1063,Faculdade Doctum de Vila Velha,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
2220,Faculdade Doctum de Juiz de Fora,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
5315,Faculdades Unificadas de Iúna,FUI,Privada sem fins lucrativos,Faculdade,Sudeste
5276,Faculdade Doctum de Carangola,DOCTUM,Privada sem fins lucrativos,Faculdade,Sudeste
